"review_title","review_verbatim","role","status","location","date","rating"
"Fun & relaxed workplace but not good competitive compensation ","Good company to retire, good benefits and work life balance and job is secured, socialist approach..Can consider employee pay and growth as a company.","Software Developer Lead","Current Employee","Pittsburgh, PA","October 22, 2021","4.0"
"Caring management","Management is easy to talk to and are supportive of staff career and development. The company is growing so career opportunities will increase. PNC is one of the best employers ive had.","Line of Business Risk Specialist","Current Employee","Pittsburgh, PA","October 22, 2021","5.0"
"Awful management","The worst place I have worked at! The gave ampule time to do the training but they barely did any training. Then once I got to the branch, I was expected to know everything without any help. Management was a joke and will never bank or work there again.  ","Retail Banker","Former Employee","Washington Court House, OH","October 22, 2021","1.0"
"Ok place to work ","They will train you there's a lot of places for you to get help if you don't know something but the pay is low. Advancing into a new position is pretty easy, after one year you speak with your manager about your goals ","Customer Service Representative","Current Employee","Remote","October 22, 2021","4.0"
"Terrible ","Don't waste your time. No raises. No promotions. Managers are terrible, all they do is go out for lunch and leave early. Coworkers get away with doing nothing and get paid more. Seriously, terrible company.","Universal Banker","Former Employee","Wisconsin","October 20, 2021","1.0"
"This company only cares about it's stupid numbers on their reports do not care about the people that work at branches","Do not give you tools that work for you to be able to your job. This place is a joke. Absolutely no work/life balance at all. Now have to work 6 days a week","Teller","Former Employee","West Bend, WI","October 19, 2021","1.0"
"Strong, Inclusive Culture","I'm impressed with the continued opportunity for growth inside the company. Management seem to always be willing to guide toward goals and professional development that will allow for advancement.","Consultant","Current Employee","Remote","October 19, 2021","4.0"
"Unfortunate Management at my site","The job itself was not bad. However my manager promoted me without training me and would call out often, leaving me as the only banker with no support and very little understanding of what was expected of me. It was highly stressful and difficult. Then I would be reprimanded for my mistakes and that was the only time management would talk to me, even though I had many questions that I asked for help with.","Branch Sales and Service Representative","Former Employee","Lansing, MI","October 18, 2021","3.0"
"Shart on staffing.  Employees are expected to work short staffed most of the rime.","Micro management.   Staffing issues.  Expectations of management can not be met due to staffing issues. Benefits could be better.  Experience in banking does not see to matter in internal job transfer requets.","Branch personnel","Former Employee","Kalamazoo, MI","October 17, 2021","3.0"
"Good company, transperant ","-fair to employees- needs to update some technology very tedious tech- frontline management pushes for results but does nothing to draw business-you get pushed a lot to share leads with other employees in the branch","Loan Officer","Former Employee","Illinois","October 15, 2021","3.0"
"Good Technology, Poor Pay and Promotion Opportunities ","Stressful, low salaries, poor career advancement opportunities, poor quality management. Technology for employees and customers is good. Usually have good offers and giveaways for customers.","Customer Service Representative","Former Employee","Baltimore, MD","October 12, 2021","4.0"
"Poor management ","Poor management. Horrible growth opportunities. They would rather hire from outside. Employees are just a number. CEO could care less about anything but the almighty dollar. Spent months doing mandatory overtime. ","Loan Closing Specialist","Former Employee","Pittsburgh, PA","October 12, 2021","1.0"
"Great Place To Work ","Pros:Very stable financial company. Great benefits.  Risk averse. Good diversity and inclusion policies.  Cons:Slow adoption of new technologies. Heavy change management process.","Technology Engineer","Current Employee","Remote","October 11, 2021","4.0"
"Meaningful work, fantastic team. Compensation could definitely be better. Base salary and incentive pay are not as competitive as other places. ","Overall, a solid company to work for. My team does meaningful work for employees across the enterprise. Senior leadership support (several layers above me) can be a challenge. This year has been challenging from a resource perspective. Great flexibility. Could move the needle on pay and not just the $18/hour population. Mid career and senior level professionals need an adjustment too after not necessarily being paid competitively to the market. ","Manager","Current Employee","North Carolina","October 10, 2021","5.0"
"better work life balance, old timer culture, dark ages ","It's a good place for hours, bad for diversity and inclusion. Old school mentality, old technology, and unreceptive to new ideas. They hire a lot of ‘diverse' candidates but keep them at bottom of ladder. No transparency on career advancement.Pros are flexible work arrangements and less stressful work, but depending on your manger you could be both stressed and underpaid. ","VP Audit","Former Employee","New York, NY","October 7, 2021","2.0"
"Benefits and incentive get worse every year","Used to be great place to work then begets changed to high deductible and incentive got cut even when company itself would tell us how much profit they were making.","Customer Service","Former Employee","Pittsburgh, PA","October 6, 2021","3.0"
"Heres the thing, we started out fine","It was cool, it was all divine. When I first started with PNC it seemed like it had a good family feel in the company culture, but four years later it seems like they care less and less about the individual. Decisions are made about departments without anyone knowing what goes on in that department, and you generally find out you've been doing something wrong about a week later because no one bothers to communicate. The lower levels of management are amazing, but the higher ups are so out of touch.","Processing Specialist","Current Employee","Pittsburgh, PA","October 5, 2021","3.0"
"Can work remote and there is good work life balance. ","I have a great manager which makes all of the diffrence.  My job is not hard because of repetition.  I am close to retirement so the opportunities  are  not there.  I have a good team that I work on. No cut throats. ","Software Engineer","Current Employee","Remote","October 5, 2021","4.0"
"Constant restructuring","There is a culture of restructuring in the company that can be very tiresome. Endless meetings discussing new ways of doing things are in the way of actually doing those things. It's a revolving door of strategies, people moving around the company. Overall it seemed very chaotic and superficial. Benefits and other stuff like that are generous, I felt supported by management and never ran into any problems in regards to time off. The day to day hugely depends on the immediate team and manager. I had a fantastic one! But it varies greatly based on my conversations with coworkers. At the end of the day I did not feel challenged and fulfilled by what I was doing. And the compensation is below average with no room for negotiation. ","Software Developer","Former Employee","Remote","October 4, 2021","4.0"
"No work life balance","There is no work life balance. All u do is work work work work. They are always short staff at every single branch. The pay is so small for the amount of work load you have to do","Teller","Former Employee","Fayetteville, NC","October 4, 2021","2.0"
"Good flexibility","PNC has great flexibility with working remotely, even pre covid. The organization is large so sometimes it's hard to feel like your work is being noticed. ","Digital Product Manager","Current Employee","Pittsburgh, PA","October 3, 2021","4.0"
"Bad management ","Great job. Good people. Terrible benefits. If you don't want to aggressively climb  the corporate ladder you are pushed out. Whatever happened to being satisfied where you are ? ","Recruiter","Current Employee","Pittsburgh, PA","October 2, 2021","3.0"
"Don't care about employees","All company cares about is how much money they are making. They treat their employees bad and only care if you are reaching your goals. They are very quick to fire people as well.","Bank Teller","Former Employee","Tarentum, PA","October 1, 2021","1.0"
"It's reasonable ","Can be stressful at times but not a bad place. I worked from home so it can be on the boring tiring side. Stay motivated and you can make the best of it.","Call Center Representative","Former Employee","Rocky Mount, NC","September 29, 2021","3.0"
"Hard to get help from management when needed","PTO and benefits were great.  Lack of help from management.  Training was very long yet inadequate for the role.  Very stressful even when working remotely.  Too many meetings about 'culture' and not enough time dedicated to answers for actual day-to-day work questions.","Mortgage Loan Processor","Former Employee","Louisville, KY","September 29, 2021","3.0"
"Very stressful the corporation thinks only for the top corporate people even sales people mean nothing","Management is clueless expect the world from you and give only stress in return.  They do not support you and they take away your bonus structure with no notice at all.  Pnc makes a lot of money for the corporate  people but the ones in the face of retail they take away the bonus with no notice.  They are very shady with what the tell the employees","Inbound Sales Representative","Former Employee","Virtual","September 29, 2021","2.0"
"Doesnt reward ","Tasked to do a ton of work without any sort of quality management concerns. Feels like lack of reward to put additional effort in. People are nice and increase to salary will be good. ","Mentor","Former Employee","Kalamazoo, MI","September 28, 2021","4.0"
"Great coworkers, room to move around","Overall, enjoyed my time working for the company. PTO was great, but leadership/managers could use a lot training and development. Remote work was available for some during COVID-19 ","Development Program Manager","Former Employee","Pittsburgh, PA","September 28, 2021","3.0"
"Stressful Job","Unrealistic monthly goals, management has no idea what happens on a day to day basis at branches and expect bankers to reach very unrealistic goals. Micromanaging ","Branch Banker","Former Employee","Wilmington, DE","September 27, 2021","1.0"
"Can be very stressful","Grateful to be employed. Overall the customers are nice, they just get a little anxious to get to closing. Can be very stressful & challenging due to high volume pipelines during this epic mortgage low rate period. You have to be very organized & have a lot of patience for internal & external.","Processor","Former Employee","Virtual","September 24, 2021","3.0"
"You are expendable ","The best way that I can describe my experience with PNC (while keeping this concise) is by labeling the good, the bad, and the ugly.The Good - Work life balance is great as long as you're not a part of middle management (middle management works constantly the minute that they become exempt). Lots of opportunities to work from home, good family leave policy, and schedules are semi-flexible depending upon which department you work in.The Bad - Pay is low, raises are virtually non-existent, and upper management has no concept of what life is like for people who make less than $100K per year. If you're looking to climb the corporate ladder here, expect cutthroat style competition.The Ugly - Training is TERRIBLE, systems are antiquated, and major changes are often made to products/processes with little notice/explanation and zero employee input. Communication between departments is often hostile and no one wants to take responsibility for problems. Mistakes are made often because many people have no idea what they're doing (through no fault of their own).","Loan Research Analyst","Former Employee","Pittsburgh, PA","September 23, 2021","2.0"
"Imagine all of the bad/toxic managers you've ever had to work with all working in leadership positions at the same company","You are actively encouraged to saddle individuals with banking products they don't need and if you are not cut-throat enough to sell a drowning man even more debt your other talents will not be appreciated. Aside from that, HR is a complete mess and will not help you with actually bad things (I.e. harassment) and turnover is high because all the wrong people are promoted (but hey, at least they can open 12 different checking accounts for the same person, not everyone can pull blood from a stone). I did learn a lot in a short amount of time but that's really only because I'm self-motivated and a quick-learner; in my first year, my manager ran through literally 4 different new hires because: 1) they personally were very difficult to work for 2) had very high expectations and 3) wanted to put absolutely NO effort into helping to train the new people. I know there are a few good managers that work for this bank, but honestly do yourself a favor and go into this job either knowing you're in it only for the resume experience or that you're okay with being an over glorified ATM that's expected to try to sell a credit card to every person you talk to in a given day. ","Branch Banker","Former Employee","Pennington, NJ","September 22, 2021","1.0"
"Not The Best Place To Work","Unattainable goals and not a great culture.  Lunch breaks can be really short and expect to work on weekends.  Unreasonable sales goals & unreasonable metrics.  ","Floating Banker","Former Employee","Orlando, FL","September 21, 2021","4.0"
"Ok","Ok place, good culture, poor pay, bad management. Would go back for better pay and maybe different role. Teller lead role is underpaid and underappreciated. ","Teller Lead","Former Employee","Towson, MD","September 18, 2021","3.0"
"Great ppl , great staff ","I like how biracial it is, the customer are nice. Management is ' so so' you may. Get some nice higher ups every now and again. The branch I worked for was great Bc we were like a family, never felt like work. The  pay is ok for a bank but I should be paid at LEAST 1.00 above my rate due to alll the work that Bankers must do , pay = 18.00 ph with bonus if You meet your goals but only if you meet the goals set for you. Benefits are ok I won't complain. Vacation is good. ","Retail Banker","Current Employee","Philadelphia, PA","September 18, 2021","4.0"
"Stressful and pressure to make sales","Stressful and pressure to make sales over giving the kind of service customers actually want. Terrible salary for someone with a bachelor's degree and in one of the highest cost of living areas in the nation. ","Bank Teller","Former Employee","Columbia, MD","September 17, 2021","2.0"
"Negative energy","I am a former employee at PC I worked at the Charlestown Road New Albany, IN 47150 location. I was there for a few months and the negativity was enough for me. I was ready to leave after the first month. The women that worked there never smiled and were just down right miserable. The tellers and the management. I don't believe anyone there actually like to help people at all. They took the call blocking very serious. They used it as a second lunch break. You could clearly see them on Facebook or doing online shopping. They would make people wait until they were fully ready to do their job. ","Teller","Former Employee","New Albany, IN","September 15, 2021","2.0"
"Just ok","Some days are slow some days are non stop customers from opening to closing. There's times when you are the only teller on duty leaving you with a lobby and drive thru lanes piling up with angry customers.","Teller","Current Employee","Media, PA","September 14, 2021","3.0"
"Fun place to work with the right people","Excellent work atmosphere. High sales pressure despite the Wells Fargo scandal. Work hours for management were outrageous, with often six days a week. Mandatory conference calls when sales goals were not met on any day.","Branch Manager","Former Employee","Woodbridge, VA","September 13, 2021","3.0"
"Many late night and horrible work/life balance","For the TIS (IT) side of the business it's the worst company I've worked for. Too many meetings to get any work done, every team is too silo'd, horrible bureaucracy and processes that make 15 minute jobs take days for approvals with late night changes, and every IT team is very understaffed for the amount of work needed.","VMware VDI Engineer","Current Employee","Remote","September 12, 2021","2.0"
"Loved PNC","I worked for PNC 4 years! I loved working for them, they just do not have much of a good work/life balance. Well they do have vacation time but you have to work a certain amount of time to achieve it when you first start working for them. ","Customer Service Representative","Former Employee","Kalamazoo, MI","September 11, 2021","5.0"
"Jobs are stressful and the wrong people are praised","Like most jobs, it's quantity over quality. The faster you work, the more praise you get. In my experience, files were pushed through without all the necessary requirements because it's more important to make goal than be correct. If you are a person that takes pride in your work and follows procedure, you are looked at as uncooperative with most parties due to the fact that you won't just move the incomplete file on. Files came to the department I worked in as incomplete and rushed, this caused a lot of stress and re-schedules, and caused me to have to put other work aside for the rushes, only for it not to be able to be finalized. This to me was very frustrating, because it was a waste of time to review the rush file and caused my previous work to become rushed since it was pushed back to accommodate other rush files. Those that fly through their files and have high numbers are praised even if the work is not up to par. Pay is not competitive with other banks, even though PNC is the fifth largest bank, they still refuse to offer a decent pay, especially for the amount of stress the job causes. PNC prides themselves on inclusion and diversity but I did not feel or see that while working here. In my experience, trying to move around in the company is a hassle. I tried to get off the team I was on several times, applying for different positions and was always told they are on a hiring freeze. The only positive I can say is the remote work. Other than that be prepared to be stressed out, over worked and underpaid.","Loan Closing Analyst","Former Employee","Pittsburgh, PA","September 10, 2021","2.0"
"I loved working there. ","Everything was a learning experience and I miss the team. I learned a lot of things working for the company and Meg plenty of different ppl. I had a lot of work to do throughout the day, and I enjoyed it. ","Mail and Data Processing Clerk","Former Employee","Philadelphia, PA","September 9, 2021","5.0"
"low pay","In this role low pay good benefits. Typical day at work sitting at your desk the entire time. Competing for available work with co workers work to make numbers. Quality of work is irrelevant just speed.","Loan Closing Analyst","Former Employee","Pittsburgh, PA","September 9, 2021","2.0"
"Overall good workplace but mangement and scheduling improvements needed...","With PNC work life balance, it's important to understand each branch is different according to the manager. Some managers understand that work is work and there is some form of life outside of PNC so they'll stick to the 8 - 5 schedule; however, others do not. There is a lot of scheduling outside of typical 8-5 hours, for example rotating every other Friday until 6:15pm and then Saturdays quarterly. I can count on more hands than two the times I've had to stay late, come in early, or be sent to another branch over 25+ minutes away to help out at a moment's notice just in two months time. These requests disrupt the work-life balance because you basically cannot expect to get to any other commitment (daycare, appointment, etc) on time once you leave the office because you won't leave the office on time. Honestly, if we could get out the door according to schedule, the work-life balance would be great. When it comes to compensation/benefits, there's a lot of murkiness. You're asked to train two to four people and pick up slack in a short staffed branch because you've done such an outstanding job in your current role, but come annual review time your raise will not even be enough to make a noticeable difference. They will keep piling the additional responsibilities on to you but not compensate you for it. I believe my pay check's taxes for one pay period was more than my most recent raise for the whole entire year.  This seems a little confusing as usually commended performance is compensated fairly and a 'Meets or Exceeds Expectations' rating should be a valid defense for atleast - more...","Branch Banker","Current Employee","Huntsville, AL","September 8, 2021","2.0"
"Culture and system issues","The brand and the management are lacking badly.  I was promised things that never panned out.  The management is more interested in conference calls and their own compensation.","Mortgage Loan Officer","Former Employee","Illinois","September 8, 2021","3.0"
"Former Employee","The company was not bad overall, it was more so the management that was there at the time. The employees themselves were great and really helped each other succeed. Management did not always recognize or value their employees.","None","None","Customer Service Representative (Former Employee)","Dayton, OH","3.0"
"Draining ","The job is very draining and the success stories on advancement are lies when you look up and see you still in same dept years later. The pay is nice but not worth the mental stress","Customer Service Representative","Current Employee","Florida","September 8, 2021","3.0"
"Productive and great workplace","It was good definitely comes with a bunch of pros to it than cons. They are very flexible in case an emergency happens or right after a certain life event .","Customer Service Representative","Former Employee","New Braunfels, TX","September 4, 2021","4.0"
"The worst bank to work for","I worked here for less than 3 months. Management is terrible, with little to no support and they expect you to train, hit your goals, and do daily outbound calls all in 1-2 months and show numbers or else they threaten your job security. Mind you training takes up almost 1.5 months and most of your day. Pay is acceptable but it doesn't go up much from there and you're subject to only a few other career options within the company.","Relationship Banker","Former Employee","Township of Warren, NJ","September 3, 2021","1.0"
"Boring and unchallenging workplace ","I worked for PNC for almost two years and had three different positions (and seven different bosses) during my tenure. The work was customer service-based and extremely boring when it wasn't soul crushing. The underwriter job posting was also extremely misleading and I was severely underpaid. ","Senior Underwriter","Former Employee","Kalamazoo, MI","September 2, 2021","2.0"
"Innovative bank, customer focused.","Customer focused bank, technology is up to date and always improving.If you work diligently and stay focused on the customer you can advance in your career path.","Banker","Former Employee","Warren, NJ","September 1, 2021","5.0"
"Conducive to work at","I will like to work for this company for as long as I am able to work.My schedule is suitable, work environment conducive and team mates  cooperative.Management maybe on your head at times but it's normal though.","Oracle Database Consultant","Current Employee","Pittsburgh, PA","September 1, 2021","5.0"
"Productive job, sense of accomplishment ","Work holidays, management not always helpful depends who you get. Stuck to desk , very limited on bathroom breaks etc outside scheduled breaks. Short lunch. Limited growth unless management likes you. ","CSRII credit card services","Former Employee","Remote","September 1, 2021","3.0"
"benefits","advancement can be limited in certain product lines. Management does try to make inclusive and work/life balance is considered important. Health benefits are good.","Account Executive","Former Employee","Indiana","August 31, 2021","4.0"
"Great opportunities for advancement in a very inclusive and diverse work environment ","PNC pays well and advances employees very quickly. Benefits are good. Work life balance is a bit of a  struggle though. They try to make it a priority but then a project comes along and deadlines need to be met. All in all they are a great company to work for.","Infrastructure Engineer","Current Employee","Columbus, OH","August 25, 2021","4.0"
"Benefits, promotions, raises","Great place to work, great promotion, raises are great, awards, coaching positive feed back , great schedules, nice management great workers, best quality of life ","Branch Sales and Service Representative","Former Employee","Springfield, IL","August 24, 2021","5.0"
"Great place to start working for your first job","Enjoyed working in the wealth management development program. There was a great month long training in their head quarters and then you get placed in an office. I would work there again, but it just wasn't for my career goals. ","Fiduciary Analyst","Former Employee","Atlanta, GA","August 24, 2021","4.0"
"Great Company, Great Comp and Benefits, Strong Leadership","PNC is a company that takes the time to think through an approach, cares about their employees, and tries to make the best possible decisions.  This is a great place to build your career, work with a diverse set of people, and feel supporting across multiple aspects of your life.  Parental leave policy is top notch, career paths are there.","Human Resource Manager","Former Employee","Pittsburgh, PA","August 23, 2021","5.0"
"Was a great company pre-covid","After covid hit, they've taken away all incentives and bonus for hitting your financial goals, but the goals increased. You now have to work 6 days a week to make 40 hours. And with the whole world going through a financial crisis they're pushing sell, sell, sell and It feels very scummy.","Teller Supervisor","Current Employee","Pennsylvania","August 23, 2021","3.0"
"Great company. ","PNC is a phenomenal company to work for - from positive leadership to great benefits, including a pension. Executive leaders care about YOU and there are significant opportunities for growth and advancement.  ","","Former Employee","Michigan","August 23, 2021","4.0"
"A lot of changes ","Took away incentives and stuck me with a fix salary that was way less than I was making with my incentives a lot of stress when covid came about you prettt much wa fed to the wolves with the work load . And force to take calls from other departments . ","Customer Service Representative","Former Employee","Virtual","August 22, 2021","5.0"
"Very sad I joined","I joined PNC out of compulsion.  Though they talk about vision and value.  It is all about PNC and their benefits. They don't care about their customers or their employees.  very shallow and self centered company.  at least that is what I faced working at Morrow Ga Facility. Nor company Nor their employees are friendly.  They mean business but how they work on it is amazing.  Team Sucks, Team Playing is 3 out 10.  They are ready to throw you under the bus any day anytime.  Privacy of customers or employee is not protected by any means.   Employees talking to customers or other employees about account or customer info in the lobby or in drive thru is open and loud in the branch.  other can hear and know lot of personal info about other clients and finances and funds or situation thru out the lobby.  Not sure weather your private info is protected at all.  Anyway I m glad to be out of there.","Personal Banker","Former Employee","Morrow, GA","August 22, 2021","2.0"
"Great place to work and gain experiece in the banking field","It was a great location and the job was nice with great life and work balance.The job is not hard and it requires to have a solid understanding of what is customer service as that is your main responsability.","Teller","Former Employee","Florida","August 22, 2021","3.0"
"Overall would highly recommend! ","PNC as a whole is a very great company to work for. It does have a sales culture, but management is very good at training you to perform in your role. It has taught me tricks of the trade that I value and have carried out to other business ventures. ","customer Service","Former Employee","Cheboygan, MI","August 20, 2021","5.0"
"Inclusion and Great Management","Great management; if you show that you are of value and contribute to your team then management will ensure you are having the best work life possible","Crew Member","Current Employee","Maryland","August 19, 2021","5.0"
"Good short term option","From when I started, to when I left, almost every employee was looking for a new job, applying to different positions, or just actually leaving. The turn over is unlike anything I've ever seen. The workplace is extremely toxic and it is soul killing. I will say that this position may be okay short term, but working here any longer than that is not a good choice. ","Consumer Lending Services Default","Former Employee","Kalamazoo, MI","August 19, 2021","3.0"
"productive workplace","typical mortgage calls, learned new skills, culture is very rewarding, hardest part of the job....there isnt one.  its an easy job, you're home which is the best ","Mortgage Specialist","Current Employee","Jacksonville, FL","August 19, 2021","5.0"
"Not the Bank for career moves","Every morning, I'd wake up and dread coming to work when I was an RRT. You never know which branch you'd go to for the day. Sales goals were attainable, but it is a ""what have you done for me lately"" environment so things did not matter from yesterday. Not much in terms of PTO, lower side of 401(k) employer match, and even worse pay. Bonus structure was alright, but if you don't hit a specific threshold, then you could forget about any bonus. Immediate Branch Management was ok, they picked favorites, but would not really play favoritism. Upper Management is trash and would not care if you got hit by a car, just as long as you hit your goals to so they could pack their bank accounts. Covid made things worse branch employees, no raises, and if we had symptoms we were forced to use our own time to stay home, which is not really fair. ","Branch Banker","Current Employee","Cedar Grove, NJ","August 18, 2021","2.0"
"Opportunities for advancement are great, Pay... not so much. ","PNC is an okay company to work for. If you are looking to learn the basics of banking, it is a good place to start. However, the upper management shows little regard for employees well-being. 401k match is 4 percent which is nice. 3 weeks vacation time and 5 sick day per year plus federal holidays off. That being said, the hourly wage at PNC is lower than most every other bank. Minimum wage here is $15.00 an hour VS the competitors starting at $18.00. The commission structure for the bankers is difficult to understand and does not pay out well even when exceeding goals. They took away commission opportunities for tellers which has negatively impacted the moral. Also, PNC likes to change their technology frequently which is stressful for the employees.  ","Branch Banker","Current Employee","Kalamazoo County, MI","August 18, 2021","1.0"
"Very stressful job with terrible schedule","Typical day at work will be answering calls and talking with a lot of irate customer. Some of them are very rude and use profanity. The job is very stressful and underpaid. The hardest part is when you need help or you have escalation on the line, no one will help you even your manager.","CUSTOMER SERVICE AND SUPPORT REPRESENTATIVE PNC Bank","Current Employee","Remote","August 16, 2021","3.0"
"workplace culture","I loved my Job in Recovery. But the bank decided that we needed to collect on any account in recovery. So they gave us old Home loans that were charged off for years. Pnc gave us one hour training to learn a new system to collect the payments on. The system wasn't communicating correctly with other systems. We were also dealing with lawyers calling in asking about these accounts.  So it was a big mess.  We were put on live calls fumbling our way through trying to please the customers and lawyers calling in. We were advised to take messages and someone would call them back with the information you are requesting or an answer to your question. No one called them back so we would get another call from the lawyer or customer fuming as no one has gotten back with them. Horrible stressful work environment.    After dealing with this mess I left the bank after working there for 13 years.  We got paid incentive for the dollars we collected on but if you were doing your job correctly and helping customers. You were on the bottom of collection $$ because you spent your day dealing with calls. It was pitting all employees against each other and not helpful to any PNC customer. Best thing I did was leave the company.","Recovery Specialist","Former Employee","Kalamazoo, MI","August 16, 2021","2.0"
"Sucks working here ","Poor pay for so much workManagement needs to be trained ,terrible management Micro managedNeed to replace with new and proper efficient management  Bathroom time is micro managed Hostile environmentCompensation sucks  ","Lockbox Processor","Former Employee","Moorestown, NJ","August 14, 2021","1.0"
"Bad working experience","Poor everything regarding management and pay. Management is poor and CEO don't care. Send a note to Corporate and no response of working environment. I worked here for sixteen years.","Lockbox Clerk","Former Employee","Mount Laurel, NJ","August 14, 2021","1.0"
"Good Company","They are accommodating and encourage growth. PTO was nice. Bank holidays. Worked in branch and then transferred to remote and it was like working for a different company as far as HR things go. ","Customer Service Representative","Former Employee","Remote","August 12, 2021","4.0"
"Management was horrible","I would never repeat my experience there again.  Management was horrible and the stress placed on the employee is real bad.  They will threaten you if you don't do as they say.","Private Client Group","Former Employee","Freehold, NJ","August 11, 2021","3.0"
"Poor management. ","Untrustworthy management and coworkers. Poor leadership. Very little training. Low pay in comparison for industry. Unrealistic sales goals. No corporation from branch. ","Mortgage Loan Officer","Former Employee","Ashland, OH","August 11, 2021","3.0"
"You will never get a raise and your job is never safe","The title sums it up- don't expect a raise and don't ever assume that your position is safe. I was there for two years and was considered an expert on every one of our complex processes, yet I still was not deemed eligible for a merit increase due to the impossible QR standards. A few months later, 30% of my department's processes were automated, leaving a great deal less work to spread around. Rather than look to diversify the department's workload to other projects and tasks, the department was downsized one person at a time. The incapable, shady management does not care about their employees. Do not work here. ","Overdraft Analyst","Former Employee","Brecksville, OH","August 10, 2021","1.0"
"Front Line Workers Get No Recognition "," Meetings that are really focus on the manager and bankers meeting there goals, never any conversations that help build teller engagement. Yet tellers get the bad end of the stick with incentives being taking away and being short staff they make it seem like we are not doing our jobs because we cant have the conversations the way they would like us to, do to long lines and customers being impatience. Management is very contradicting when it come to your schedule and vacation time approval. No one is promise tomorrow yet the end of the year. Yet that want you to give them yo vacation time by end of January like year hasn't even started for time to see what's going on in spring, winter, and fall to enjoy. When you try to ask to rearrange things because of an event you may want to take time off for it's an issue. I can say the only thing I will take from this employment is the finical education I have gain and has help me out a lot in my personal life to learn and understand how money works in different ways.","Bank Teller","Current Employee","Columbus, OH","August 9, 2021","1.0"
"PNC Doesn't Care","Really high metrics to meet.Team Leads and mentors don't know answers or care to find out.Team Leads and Mentors constantly changing and ""going on vacation"" during periods when you need them most.You have to train your body to use the bathroom during your breaks or you'll get yelled at.Handle time and adherence is shoved down your throat, they don't take any excuses for whatever reason for not meeting these metrics.Get used to being on the phone CONSTANTLY, there is no time to breath, you will hate being on the phone after this job.","Customer Care Center Representative","Current Employee","Remote","August 9, 2021","1.0"
"Even pay, lack of career growth.","Even pay, lack of career growth. Employed since 2018. Handled pandemic fairly while still keeping employees at work. Not much room to grow a career at this time.","Branch Banker","Current Employee","Cleveland, OH","August 9, 2021","4.0"
"Just don't apply","If you value career advancement, a healthy work life balance and a safe environment during a global pandemic this is not the company for you.  The company is solely out for themselves no benefit at all to the frontline employees ","Teller","Current Employee","Columbus, OH","August 8, 2021","1.0"
"Great work environment ","PNC is a wonderful place to work. They care about all of their employees and clients on the same level. The team that they have around you is more of a family environment making it a joy to work. ","Branch Manager","Current Employee","Orlando, FL","August 8, 2021","5.0"
"It is ok","The CEO is political which I think is unprofessional. He states his opinion as fact even though he is wrong. My direct supervisor is awesome and makes the job bearable. The  sales compensation is pretty good which is one of the few perks you can enjoy if you can handle the sales pressure that is. ","Personal Banker","Current Employee","Tucson, AZ","August 6, 2021","1.0"
"Family oriented company","I love PNC. Even thought PNC is a big financial institution, the company is still very family oriented. The company still care for the employees and employees quality life. PNC is a safe and secure place to work. I truly love my PNC!! ","TELLER SUPERVISOR","Current Employee","Palisades Park, NJ","August 6, 2021","5.0"
"Work Environment","PNC provides an inclusive and exciting work environment. They offer many opportunities for growth within the company. They do not pay fair wages for their hardest and most loyal workers. ","Customer Service Representative","Current Employee","Remote","August 5, 2021","3.0"
"an ok place to work","PNC has multiple places you can be. right now in my position as a universal branch banker. I deal with different cliental, with different situation but it is still a same each day every day. everyone will tell you that its a different thing each day, that is untrue. I work six days a week every week since I have been hired at this new position. I have to completely block out dates to get those days off or even get a two day weekend, when I have been told it would only be like that two to three weeks out of the month. promises here at PNC are rarely kept. expectations are too high on lower employees, but it's a great place to work when your a single mother or a newly graduated out of high school. pay is good for the moment but its really nothing you can live on these days comfortably. ","Universal Banker","Current Employee","Bridgeton, MO","August 5, 2021","3.0"
"Good Company","Good inclusive company to work for. Plenty of room for economic mobility if you apply yourself. Lots of diversity and inclusions groups available to join","Loan Analyst","Current Employee","Cleveland, OH","August 4, 2021","5.0"
"Great place to work","It's a great place to work. Great benefits. One of few companies to still offer a pension. If you're willing to put in the work, your bonuses can be significant.","Branch Sales and Service Associate","Former Employee","Harrisburg, PA","August 4, 2021","5.0"
"Okay Place to Work","PNC is very sales oriented. Management differs from location but its the higher management that brings down the stress onto the employees. The system is very old as well (not user friendly and do not be surprised when it crashes). Be ready to make outbound calls to the same people over and over again to sell them credit cards, checking accounts, etc. and most do not reply. PNC has pretty good benefits but not the best out there. There are some good workers there but there are others that are bad like in other places. Pay for the work is low in my opinion. ","Branch Banker","Current Employee","Virginia","August 3, 2021","3.0"
"Not known in texas","It was a good effort by middle management but the goals were unattainable due to lack of communication , underwriting was not on same page as employees , cannot meet goals with UW delays ","Market Manager AVP","Former Employee","Texas City, TX","August 3, 2021","3.0"
"Fine atmosphere but retail banking is severely underpaid ","As a Financial Sales Consultant I was very under compensated and the tellers were even more under paid. Huge company so easily lost in the woodwork. I worked with some good people there and they provided training but overall you are not appreciated.","Financial Sales Consultant","Former Employee","Columbus, OH","August 3, 2021","3.0"
"run","training is far and near tbh. management is all new and not capable of training new hires. HR request are even slower. The center are all lacking business so it is impossible to learn and grown ","Branch Banker","Current Employee","Charlotte, NC","August 3, 2021","1.0"
